,index,Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Executive Gender,Executive Ethnicity,County,Neighborhood,SIC Code 1,SIC Code 1 Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Employee Size Actual,Location Sales Volume Range,Location Sales Volume Actual,Type of Business,Location Type,Square Footage,Credit Score Alpha,Credit Score Numeric ,Rent Expenses,Latitude,Longitude,Record Type,Rent per Square Foot
541,816,Boston Senior Home Care Codman,,,784 Washington St,Dorchester,MA,2124,,Uncoded,Suffolk,Ashmont,832218,Social Service & Welfare Organizations,624190,Other Individual & Family Services,5 to 9,9,"$500,000-1 Million","$594,000",Private,Single Loc,14999.5,I,84,17500.0,42.284236,-71.070948,Verified,1.17
542,817,Boston Senior Home Carepeabody,,,1875 Dorchester Ave,Dorchester,MA,2124,,Uncoded,Suffolk,St. Marks,836101,Senior Citizens Service Organizations,623312,Assisted Living Facilities For The Elderly,5 to 9,9,,$0,Private,Single Loc,3749.5,I,88,17500.0,42.287046999999994,-71.064201,Verified,4.67
543,819,Boston Spine Clinics,,,560 Columbia Rd,Dorchester,MA,2125,,Uncoded,Suffolk,Uphams Corner-Jones Hill,809907,Health Services,621999,All Other Misc Ambulatory Health Care Services,10 to 19,10,$1-2.5 Million,"$2,172,000",Private,Single Loc,29999.5,B,81,75000.0,42.316466999999996,-71.066191,Verified,2.5
544,820,Boston Standard Co,Joseph,Wood,41 Hollingsworth St,Mattapan,MA,2126,Male,Western Europe,Suffolk,Southern Mattapan,171102,Heating Contractors,238220,Plumbing Htg & Air-Conditioning Contractors,1 to 4,4,"$500,000-1 Million","$858,000",Private,Single Loc,750.0,B+,85,17500.0,42.268747,-71.09871,Verified,23.33
545,821,Boston Street Restaurant,Kevin,Tyo,226 Boston St,Dorchester,MA,2125,Male,Western Europe,Suffolk,Columbia Point,581208,Restaurants,722511,Full-Service Restaurants,5 to 9,8,"$500,000-1 Million","$598,000",Private,Single Loc,1999.5,A,91,5000.0,42.322262,-71.060855,Verified,2.5
546,822,Boston Symphony Orchestra Inc,,,27 Thelma Rd,Dorchester,MA,2122,,Uncoded,Suffolk,,792901,Orchestras & Bands,711130,Musical Groups & Artists,1 to 4,2,"Less Than $500,000","$134,000",Private,Single Loc,1999.5,B,80,5000.0,42.294632,-71.054316,Verified,2.5
547,823,Boston Taxi & Limo Svc,,,1 Harborside Dr,East Boston,MA,2128,,Uncoded,Suffolk,Jeffries Point,412101,Taxicabs & Transportation Service,485310,Taxi Service,10 to 19,12,"$500,000-1 Million","$807,000",Private,Single Loc,69999.5,B,83,500000.0,42.363431,-71.025706,Verified,7.14
548,825,Boston Therapy,Stevan C,Simon,50 Meridian St,East Boston,MA,2128,Male,Western Europe,Suffolk,Central Maverick Square-Paris Street,804918,Physical Therapists,621340,"Offices-Physical, Occptnl/Speech Thrpsts/Audlgsts",5 to 9,6,"Less Than $500,000","$293,000",Private,Single Loc,7499.5,A,90,37500.0,42.371572,-71.039062,Verified,5.0
549,826,Boston Top Quality C P R Inc,Liliana,Borges,26 Barry St,Dorchester,MA,2125,Female,Hispanic,Suffolk,,829961,Cardiopulmonary Resuscitation Info/Svcs,611699,All Other Miscellaneous Schools & Instruction,1 to 4,4,,$0,Private,Single Loc,750.0,I,76,5000.0,42.308944,-71.067785,Verified,6.67
550,827,Boston Tops,,,200 Terminal B,East Boston,MA,2128,,Uncoded,Suffolk,Jeffries Point,569917,T-Shirts-Retail,448190,Other Clothing Stores,1 to 4,2,"Less Than $500,000","$341,000",Private,Single Loc,14999.5,C+,78,37500.0,42.361864000000004,-71.018625,Verified,2.5
551,828,Boston Trust Realty Group,Robert,Nichols,404 Neponset Ave,Dorchester,MA,2122,Male,Western Europe,Suffolk,Neponset,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,10 to 19,12,$1-2.5 Million,"$2,194,000",Private,Single Loc,7499.5,A+,96,75000.0,42.286497,-71.043791,Verified,10.0
552,829,Boston Tutu Dolls,Charlene M,Pirkle,512 Harvard St,Mattapan,MA,2126,Female,Western Europe,Suffolk,,599999,Miscellaneous Retail Stores NEC,453998,All Other Misc Store Retailers (Exc Tobacco Strs),20 to 49,23,$5-10 Million,"$6,521,000",Private,Single Loc,69999.5,B,83,175000.0,42.287232,-71.09445799999999,Verified,2.5
553,830,Boston TV Entertainment,Duquela,Colas,76 Wilmington Ave,Dorchester,MA,2124,Male,Western Europe,Suffolk,West Codman Hill-West Lower Mills,792205,Television Program Producers,711510,"Independent Artists, Writers & Performers",5 to 9,6,"$500,000-1 Million","$517,000",Private,Single Loc,7499.5,C+,76,37500.0,42.279562,-71.07659100000001,Verified,5.0
554,831,Boston Used Bikes-Thrift Shop,,,1758 Dorchester Ave,Dorchester,MA,2124,,Uncoded,Suffolk,St. Marks,593222,Thrift Shops,453310,Used Merchandise Stores,1 to 4,3,$1-2.5 Million,"$1,274,000",Private,Single Loc,1999.5,B,83,37500.0,42.290107,-71.06289100000001,Verified,18.75
555,832,Boston Vision Media Group,Steven J,Wall,194 Hamilton St,Dorchester,MA,2122,Male,Western Europe,Suffolk,,573113,Audio-Visual Equipment-Dealers,443142,Electronic Stores,5 to 9,5,$1-2.5 Million,"$1,829,000",Private,Single Loc,7499.5,C+,76,37500.0,42.305221,-71.06597,Verified,5.0
556,834,Boston Wellness Healthcare,Tracy,Vo,1377 Dorchester Ave,Dorchester,MA,2122,Female,Far Eastern,Suffolk,Meeting House Hill,804101,Chiropractors DC,621310,Offices Of Chiropractors,1 to 4,3,"Less Than $500,000","$327,000",Private,Single Loc,1999.5,A,91,17500.0,42.30372,-71.059601,Verified,8.75
557,836,Boston Winery,Ralph,Burno,26 Ericsson St,Dorchester,MA,2122,Male,Uncoded,Suffolk,Neponset,208401,Wineries (Mfrs),312130,Wineries,1 to 4,4,"$500,000-1 Million","$995,000",Private,Single Loc,1999.5,B+,89,17500.0,42.292517,-71.03972399999999,Verified,8.75
558,837,Boston Wood Floor Supply Inc,Peter,Lee,80 Neponset Ave,Dorchester,MA,2122,Male,Western Europe,Suffolk,Neponset,175203,Floor Laying Refinishing & Resurfacing,238330,Flooring Contractors,1 to 4,3,"$500,000-1 Million","$643,000",Private,Single Loc,750.0,B,82,17500.0,42.295567,-71.053722,Verified,23.33
559,838,Boston Youth Marching Arts Inc,Donna M,Flaherty,9 Blackwell St,Dorchester,MA,2122,Female,Western Europe,Suffolk,,841202,Arts Organizations & Information,712110,Museums,1 to 4,3,,$0,Private,Single Loc,750.0,I,76,5000.0,42.288129999999995,-71.047791,Verified,6.67
560,839,Boston Youth Wrestling,Jose,Valenzuela,100 Warren St,Roxbury,MA,2119,Male,Hispanic,Suffolk,,869905,Athletic Organizations,813990,Other Similar Organizations,1 to 4,3,,$0,Private,Single Loc,7499.5,I,78,17500.0,42.326997999999996,-71.08286600000001,Verified,2.33
561,840,BOSTONGUYS.COM,,,60 Gibson St # A5,Dorchester,MA,2122,,Uncoded,Suffolk,Fields Corner East,731917,Advertising-Computer,541890,Other Services Related To Advertising,10 to 19,19,$2.5-5 Million,"$3,988,000",Private,Single Loc,29999.5,B+,86,175000.0,42.298256,-71.058159,Verified,5.83
562,841,Bostonian Foundation Inc,A Jason,Geisinger,337 Neponset Ave,Dorchester,MA,2122,Male,Western Europe,Suffolk,Neponset,873303,Foundation-Educ Philanthropic Research,541720,Research & Devmnt-Social Sciences & Humanities,5 to 9,7,,$0,Private,Single Loc,14999.5,I,81,37500.0,42.287538,-71.046989,Verified,2.5
563,842,Bostonian Nursing Care & Rehab,Peter,Flynn,337 Neponset Ave,Dorchester,MA,2122,Male,Western Europe,Suffolk,Neponset,833102,Rehabilitation Services,624310,Vocational Rehabilitation Services,100 to 249,200,,$0,Private,Single Loc,100000.0,A+,96,375000.0,42.287538,-71.046989,Verified,3.75
564,843,Botanica Caridad Del Codre,,,727 Dudley St,Dorchester,MA,2125,,Uncoded,Suffolk,Uphams Corner-Jones Hill,599950,Church Supplies,453998,All Other Misc Store Retailers (Exc Tobacco Strs),1 to 4,4,$1-2.5 Million,"$1,135,000",Private,Single Loc,3749.5,C,73,37500.0,42.317827,-71.067201,Verified,10.0
565,845,Botanica Papa Boco,,,423 Bowdoin St,Dorchester,MA,2122,,Uncoded,Suffolk,Uphams Corner-Jones Hill,562105,Boutique Items-Retail,448120,Women's Clothing Stores,1 to 4,2,"Less Than $500,000","$459,000",Private,Single Loc,3749.5,C,73,37500.0,42.310477,-71.061981,Verified,10.0
566,846,Boulevard Cleaners,Peter,Papadogiannis,1328 Blue Hill Ave,Mattapan,MA,2126,Male,Mediterranean,Suffolk,Wellington Hill,721201,Cleaners,812320,Drycleaning & Laundry Svcs (Except Coin-Operated),1 to 4,4,"Less Than $500,000","$239,000",Private,Single Loc,750.0,A,91,5000.0,42.278217,-71.093085,Verified,6.67
567,848,Bounty Management & Designs,Samsonidze,Georgy,3 Bayside St,Dorchester,MA,2125,,Eastern European,Suffolk,,874130,Management Services,561110,Office Administrative Services,5 to 9,5,$1-2.5 Million,"$1,363,000",Private,Single Loc,14999.5,C+,76,17500.0,42.309017,-71.050517,Verified,1.17
568,850,Boutique 620,,,620 Blue Hill Ave,Dorchester,MA,2121,,Uncoded,Suffolk,Franklin Field North,562105,Boutique Items-Retail,448120,Women's Clothing Stores,1 to 4,2,"Less Than $500,000","$459,000",Private,Single Loc,3749.5,C+,76,37500.0,42.302997,-71.084981,Verified,10.0
569,853,Bowdoin Food Corp,Edwin,Polanco,217 Bowdoin St,Dorchester,MA,2122,Male,Hispanic,Suffolk,Meeting House Hill,541103,Convenience Stores,445120,Convenience Stores,1 to 4,2,"Less Than $500,000","$384,000",Private,Single Loc,3749.5,B,80,5000.0,42.305547999999995,-71.067542,Verified,1.33
570,863,Bowdoin Health Ctr,Valerie,Walker,230 Bowdoin St,Dorchester,MA,2122,Female,Western Europe,Suffolk,Bowdoin North-Mount Bowdoin,801104,Clinics,621493,Freestanding Ambulatory Surgical & Emergency Ctrs,50 to 99,70,$20-50 Million,"$21,792,000",Private,Single Loc,100000.0,A,94,500000.0,42.30588,-71.067837,Verified,5.0
571,864,Bowdoin Sewer & Drain,,,314 Bowdoin St,Dorchester,MA,2122,,Uncoded,Suffolk,Bowdoin North-Mount Bowdoin,162307,Sewer Contractors,237110,Water & Sewer Line & Related Structures Constr,1 to 4,3,$1-2.5 Million,"$1,347,000",Private,Single Loc,1999.5,B,80,17500.0,42.308027,-71.065361,Closed/Out of Business,8.75
572,870,Bowline Group,Matt,Sullivan,540 Gallivan Blvd # 2,Dorchester,MA,2124,Male,Western Europe,Suffolk,Neponset,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,29999.5,A,90,37500.0,42.283035999999996,-71.05504,Verified,1.25
573,871,Box Express Nj LLC,,,52 Bennington St,East Boston,MA,2128,,Uncoded,Suffolk,,421501,Courier Services,492110,Couriers & Express Delivery Services,5 to 9,8,$1-2.5 Million,"$1,406,000",Private,Single Loc,7499.5,B,81,37500.0,42.37578,-71.037121,Verified,5.0
574,873,Boys & Girls Club Of America,,,115 Warren St,Roxbury,MA,2119,,Uncoded,Suffolk,Washington Park,832222,Youth Organizations & Centers,624110,Child & Youth Services,10 to 19,10,"$500,000-1 Million","$660,000",Private,Branch,69999.5,I,92,17500.0,42.326871000000004,-71.083787,Verified,0.25
575,874,Boys & Girls Club-Dorchester,Robert A,Scannell,1135 Dorchester Ave,Dorchester,MA,2125,Male,Western Europe,Suffolk,Columbia Point,832222,Youth Organizations & Centers,624110,Child & Youth Services,10 to 19,10,"$500,000-1 Million","$660,000",Private,Branch,14999.5,I,92,37500.0,42.311958000000004,-71.057767,Verified,2.5
576,876,Bps Visual & Performing Arts,,,443 Warren St # 8,Dorchester,MA,2121,,,Suffolk,Washington Park,829977,Schools-Performing Arts,611610,Fine Art Schools,1 to 4,4,,$0,Private,Single Loc,3749.5,B+,86,17500.0,42.316167,-71.084501,Verified,4.67
577,877,Brabant & Huynh,Mai,Huynh,117 Neponset Ave,Dorchester,MA,2122,Female,Far Eastern,Suffolk,Neponset,811103,Attorneys,541110,Offices Of Lawyers,1 to 4,3,$1-2.5 Million,"$1,038,000",Private,Single Loc,1999.5,A+,95,5000.0,42.294458,-71.052722,Verified,2.5
578,878,Bradenlamb.Com,Braden,Lamb,1 Arcadia St # 1a,Roxbury,MA,2119,Male,Western Europe,Suffolk,Egleston Square,731917,Advertising-Computer,541890,Other Services Related To Advertising,10 to 19,19,$2.5-5 Million,"$3,988,000",Private,Single Loc,29999.5,B,84,75000.0,42.316206,-71.100732,Verified,2.5
579,880,Bradshaw Childrens Ctr At Abcd,Cheryl,Gomes,64 Bradshaw St,Dorchester,MA,2121,Female,Hispanic,Suffolk,Franklin Field North,835102,Schools-Pre-School/Kindergarten-Academic,624410,Child Day Care Services,10 to 19,13,"Less Than $500,000","$386,000",Private,Single Loc,7499.5,A,93,37500.0,42.298071,-71.083554,Verified,5.0
580,881,Brandao Transportation,Agnelo,Brandao,422 Bowdoin St,Dorchester,MA,2122,,Hispanic,Suffolk,,411914,Transportation Services,485999,All Other Transit & Ground Passenger Trnsprtn,5 to 9,9,"$500,000-1 Million","$902,000",Private,Single Loc,3749.5,B,80,17500.0,42.310552,-71.06304300000001,Verified,4.67
581,884,Brandy Autobody,Luis A,Recinos,162 Liverpool St,East Boston,MA,2128,Male,Hispanic,Suffolk,Central Maverick Square-Paris Street,753201,Automobile Body-Repairing & Painting,811121,"Automotive Body, Paint & Interior Repair/Maint",1 to 4,3,"Less Than $500,000","$495,000",Private,Single Loc,750.0,B+,86,37500.0,42.373897,-71.039801,Verified,50.0
582,887,Brasil Brazil,Carlos,Alves,31 Maverick Sq,East Boston,MA,2128,Male,Hispanic,Suffolk,Jeffries Point,509905,Importers (Whls),423990,Other Miscellaneous Durable Goods Merchant Whlsrs,1 to 4,2,$1-2.5 Million,"$2,333,000",Private,Single Loc,1999.5,B,80,17500.0,42.369242,-71.039239,Verified,8.75
583,889,Brazafricol Inc,Elicondra P,Da Silva,115 Hazelton St,Mattapan,MA,2126,Female,Hispanic,Suffolk,Wellington Hill,839998,Non-Profit Organizations,813319,Other Social Advocacy Organizations,5 to 9,9,,$0,Private,Single Loc,7499.5,B+,85,37500.0,42.282005,-71.097148,Verified,5.0
584,891,Breakthrough Greater Boston,Elysa,Spelman,9 Peacevale Rd,Dorchester,MA,2124,Female,Western Europe,Suffolk,Codman Square-East Codman Hill,839998,Non-Profit Organizations,813319,Other Social Advocacy Organizations,5 to 9,9,,$0,Private,Single Loc,14999.5,A,90,37500.0,42.285455999999996,-71.076042,Verified,2.5
585,892,Breezes Laudromat,,,345 Blue Hill Ave,Dorchester,MA,2121,,Uncoded,Suffolk,Dudley-Brunswick King,721501,Laundries-Self Service,812310,Coin-Operated Laundries & Drycleaners,1 to 4,2,"Less Than $500,000","$228,000",Private,Single Loc,1999.5,C,70,5000.0,42.31261,-71.080471,Verified,2.5
586,893,Brendan Corcoran D,,,1140 Saratoga St,East Boston,MA,2128,,Uncoded,Suffolk,Harbor View-Orient Heights,804101,Chiropractors DC,621310,Offices Of Chiropractors,1 to 4,3,"Less Than $500,000","$327,000",Private,Single Loc,1999.5,B+,86,17500.0,42.384725,-71.000426,Verified,8.75
587,895,Brewington Transportation,Boyd D,Brewington,11 Annapolis St,Dorchester,MA,2125,Male,Western Europe,Suffolk,,478977,Transportation,488210,Support Activities For Rail Transportation,20 to 49,20,$2.5-5 Million,"$3,933,000",Private,Single Loc,29999.5,C+,76,75000.0,42.317142,-71.061388,Verified,2.5
588,896,Brian Gunning Law Office,Brian,Gunning,415 Neponset Ave # 3,Dorchester,MA,2122,Male,Western Europe,Suffolk,Neponset,811103,Attorneys,541110,Offices Of Lawyers,1 to 4,2,"$500,000-1 Million","$692,000",Private,Single Loc,3749.5,A,93,17500.0,42.286071,-71.043604,Verified,4.67
589,901,Bridges To Nature Preschool,,,500 Walk Hill St,Mattapan,MA,2126,,Uncoded,Suffolk,Wellington Hill,835102,Schools-Pre-School/Kindergarten-Academic,624410,Child Day Care Services,10 to 19,13,"Less Than $500,000","$386,000",Private,Single Loc,14999.5,B,83,17500.0,42.288258,-71.10131899999999,Verified,1.17
590,902,Bridgestone Properties,,,618 Columbia Rd,Dorchester,MA,2125,,Uncoded,Suffolk,Uphams Corner-Jones Hill,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,5 to 9,5,"$500,000-1 Million","$915,000",Private,Single Loc,7499.5,A,90,37500.0,42.317882,-71.064481,Verified,5.0
591,904,Brigham Surgical Group,,,,Roxbury,MA,2118,,Uncoded,Suffolk,,801101,Physicians & Surgeons,621111,Offices Of Physicians (Exc Mental Health Specs),5 to 9,6,$1-2.5 Million,"$1,868,000",Private,Single Loc,3749.5,A,91,17500.0,42.345821,-71.066284,Verified,4.67
592,906,Bright Cleaning,,,41 Wordsworth St,East Boston,MA,2128,,Uncoded,Suffolk,,734902,Janitor Service,561720,Janitorial Services,5 to 9,5,"$500,000-1 Million","$662,000",Private,Single Loc,1999.5,C+,76,5000.0,42.384843,-71.017864,Verified,2.5
593,907,Brigs LLC,Scott,Wolf,185 Dudley St,Roxbury,MA,2119,Male,Western Europe,Suffolk,Sav-Mor,653108,Real Estate Management,531210,Offices Of Real Estate Agents & Brokers,20 to 49,20,$2.5-5 Million,"$3,657,000",Private,Single Loc,29999.5,A,90,175000.0,42.328354,-71.081921,Verified,5.83
594,908,Brilliant Tire Corp,Harvery,Brilliant,465 Neponset Ave,Dorchester,MA,2122,Male,Western Europe,Suffolk,Neponset,753801,Automobile Repairing & Service,811111,General Automotive Repair,1 to 4,2,"Less Than $500,000","$269,000",Private,Single Loc,750.0,B+,86,5000.0,42.285437,-71.042099,Verified,6.67
595,910,Bromojo,Ian,Lanchester,38 Whitten St,Dorchester,MA,2122,Male,Western Europe,Suffolk,St. Marks,594509,Games & Game Supplies,451120,"Hobby, Toy & Game Stores",1 to 4,2,"Less Than $500,000","$237,000",Private,Single Loc,3749.5,C,71,17500.0,42.293481,-71.059658,Verified,4.67
596,911,Brook Avenue Co-Op,,,147 Moreland St,Roxbury,MA,2119,,Uncoded,Suffolk,Dudley-Brunswick King,653118,Real Estate,531210,Offices Of Real Estate Agents & Brokers,1 to 4,1,"Less Than $500,000","$183,000",Private,Single Loc,3749.5,A,91,5000.0,42.321949,-71.074474,Verified,1.33
597,914,Brother Ahmed Barber Shop,Said,Ahmed,74 Warren St,Roxbury,MA,2119,Male,Middle Eastern,Suffolk,Sav-Mor,724101,Barbers,812111,Barber Shops,1 to 4,2,"Less Than $500,000","$74,000",Private,Single Loc,750.0,C,73,5000.0,42.328267,-71.08304100000001,Verified,6.67
598,915,Brother Barbershop,Amaurys M,Bautista,310 Columbia Rd,Dorchester,MA,2121,,Hispanic,Suffolk,Dudley-Brunswick King,724101,Barbers,812111,Barber Shops,1 to 4,2,"Less Than $500,000","$74,000",Private,Single Loc,1999.5,C+,76,5000.0,42.310122,-71.072863,Verified,2.5
599,916,Brother United Inc,Glenny,Santana,13 Chelsea St,East Boston,MA,2128,Female,Hispanic,Suffolk,Jeffries Point,481304,Telephone Companies,517311,Wired Telecommunications Carriers,1 to 4,4,$1-2.5 Million,"$2,399,000",Private,Single Loc,7499.5,C,71,75000.0,42.370295,-71.03805899999999,Verified,10.0
600,917,Brother's Hernandez Tiles Svc,Ramon,Hernandez,182 Paris St,East Boston,MA,2128,Male,Hispanic,Suffolk,,174304,Contractors-Tile,238340,Tile & Terrazzo Contractors,1 to 4,3,"$500,000-1 Million","$643,000",Private,Single Loc,750.0,C+,76,5000.0,42.374208,-71.03570699999999,Verified,6.67
601,918,Brother's Liquors,Victor,Fernandez,368 Warren St,Roxbury,MA,2119,Male,Hispanic,Suffolk,Sav-Mor,592102,Liquors-Retail,445310,"Beer, Wine & Liquor Stores",5 to 9,8,$1-2.5 Million,"$2,087,000",Private,Single Loc,1999.5,A,93,5000.0,42.318397999999995,-71.081537,Verified,2.5
602,919,Brotherhood For The Fallen,Leah,Bagas,295 Freeport St,Dorchester,MA,2122,Female,Hispanic,Suffolk,Fields Corner East,839998,Non-Profit Organizations,813319,Other Social Advocacy Organizations,5 to 9,9,,$0,Private,Single Loc,3749.5,B,80,37500.0,42.302125,-71.052301,Verified,10.0
603,920,Brothers Deli & Restaurant,Maria,Natale,1638 Blue Hill Ave,Mattapan,MA,2126,Female,Mediterranean,Suffolk,Mattapan Square,581208,Restaurants,722511,Full-Service Restaurants,5 to 9,6,"Less Than $500,000","$448,000",Private,Single Loc,3749.5,A,93,37500.0,42.268309,-71.09344899999999,Verified,10.0
604,921,Brothers Hernandez Moving,Enrique H,Luna,230 Saratoga St # 2,East Boston,MA,2128,Male,Hispanic,Suffolk,Central Maverick Square-Paris Street,421401,Movers,484110,"General Freight Trucking, Local",5 to 9,6,$1-2.5 Million,"$1,073,000",Private,Single Loc,3749.5,B,80,17500.0,42.377981,-71.033175,Verified,4.67
605,922,Brothers Market,,,517 Warren St,Dorchester,MA,2121,,Uncoded,Suffolk,Washington Park,541105,Grocers-Retail,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,1 to 4,2,"Less Than $500,000","$384,000",Private,Single Loc,3749.5,B,80,5000.0,42.313587,-71.08372,Verified,1.33
606,923,Brothers Market,German,Fernandez,776 Dudley St,Dorchester,MA,2125,Male,Hispanic,Suffolk,Uphams Corner-Jones Hill,541105,Grocers-Retail,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,20 to 49,20,$2.5-5 Million,"$3,836,000",Private,Single Loc,29999.5,A,91,75000.0,42.317496999999996,-71.06569,Verified,2.5
607,925,Brothers Super Liquors,Eduardo,Fernandez,740 Blue Hill Ave,Dorchester,MA,2121,Male,Hispanic,Suffolk,Franklin Field North,592102,Liquors-Retail,445310,"Beer, Wine & Liquor Stores",1 to 4,4,$1-2.5 Million,"$1,044,000",Private,Single Loc,750.0,B+,87,5000.0,42.299717,-71.086079,Verified,6.67
608,926,Brothers Supermarket,German,Fernandez,46 Washington St,Dorchester,MA,2121,Male,Hispanic,Suffolk,Dudley-Brunswick King,541105,Grocers-Retail,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,5 to 9,8,$1-2.5 Million,"$1,535,000",Private,Single Loc,7499.5,A,91,37500.0,42.307086,-71.08204599999999,Verified,5.0
609,927,Brown Oil Co,Peter,Brown,30 Waumbeck St,Dorchester,MA,2121,Male,Western Europe,Suffolk,Washington Park,517206,Oils-Fuel (Whls),424720,Other Petroleum Merchant Wholesale,5 to 9,5,$50-100 Million,"$99,843,000",Private,Single Loc,14999.5,B+,88,175000.0,42.313883000000004,-71.08651400000001,Verified,11.67
610,928,Brown's Food Market,Fabio,Sirvereo,559 Dudley St,Dorchester,MA,2125,Male,Uncoded,Suffolk,Dudley-Brunswick King,541105,Grocers-Retail,445110,Supermarkets/Other Grocery (Exc Convenience) Strs,1 to 4,4,"$500,000-1 Million","$768,000",Private,Single Loc,1999.5,B+,85,17500.0,42.321177,-71.07239100000001,Verified,8.75
611,931,Browne William & Sons,William,Browne,862 Morton St,Mattapan,MA,2126,Male,Western Europe,Suffolk,Franklin Field South,569919,Tailors,448190,Other Clothing Stores,1 to 4,2,"Less Than $500,000","$341,000",Private,Single Loc,1999.5,B,81,17500.0,42.281257000000004,-71.085631,Verified,8.75
612,934,Brummitt & Kelly Co,Stephen,Kelly,33 Roxbury St,Roxbury,MA,2119,Male,Western Europe,Suffolk,Lower Roxbury,769962,Locks & Locksmiths,561622,Locksmiths,1 to 4,2,"Less Than $500,000","$231,000",Private,Single Loc,750.0,B,81,5000.0,42.329696999999996,-71.085351,Verified,6.67
613,935,Bsw Beauty,Steven,Kong,1595 Blue Hill Ave,Mattapan,MA,2126,Male,Far Eastern,Suffolk,Mattapan Square,723106,Beauty Salons,812112,Beauty Salons,10 to 19,10,"$500,000-1 Million","$566,000",Private,Single Loc,3749.5,A+,96,17500.0,42.269216,-71.094115,Verified,4.67
614,936,Bt Chiropractic Health,Lam,Hang,986 Dorchester Ave,Dorchester,MA,2125,Male,Far Eastern,Suffolk,Columbia Point,804101,Chiropractors DC,621310,Offices Of Chiropractors,1 to 4,3,"Less Than $500,000","$327,000",Private,Single Loc,750.0,A,93,5000.0,42.317027,-71.056481,Verified,6.67
615,937,BTS Partners Inc,Jim,Maniscalco,74 Lawley St,Dorchester,MA,2122,Male,Mediterranean,Suffolk,,737904,Computers-Networking,541519,Other Computer Related Services,50 to 99,50,$5-10 Million,"$9,324,000",Private,Single Loc,100000.0,A+,95,175000.0,42.290587,-71.041431,Verified,1.75
616,940,Bucci & Robinson Woodworking,,,115 Boston St,Dorchester,MA,2125,,Uncoded,Suffolk,Columbia Point,243102,Millwork (Mfrs),321918,Other Millwork (Including Flooring),1 to 4,4,"Less Than $500,000","$403,000",Private,Single Loc,3749.5,B+,88,17500.0,42.325846000000006,-71.059196,Verified,4.67
617,942,Budget Liquors,Yu,Zhang,69 River St,Mattapan,MA,2126,Female,Far Eastern,Suffolk,West Codman Hill-West Lower Mills,592102,Liquors-Retail,445310,"Beer, Wine & Liquor Stores",1 to 4,3,"$500,000-1 Million","$783,000",Private,Single Loc,750.0,B+,88,17500.0,42.27167,-71.073475,Verified,23.33
618,944,Budglow General Supplies Inc,Gloria O,Olatunji,542 River St,Mattapan,MA,2126,Female,African American,Suffolk,Mattapan Square,539901,General Merchandise-Retail,452319,All Other General Merchandise Stores,1 to 4,2,"Less Than $500,000","$277,000",Private,Single Loc,3749.5,C,71,17500.0,42.266977000000004,-71.09481099999999,Verified,4.67
619,945,Buffalo Entertainment,Daniel,Goldstein,69 Shirley St,Roxbury,MA,2119,Male,Not Available,Suffolk,,792905,Entertainment Bureaus,711190,Other Performing Arts Companies,5 to 9,7,"Less Than $500,000","$468,000",Private,Single Loc,7499.5,B,83,17500.0,42.323802,-71.069788,Verified,2.33
620,948,Build By Ladyfit,Shari,Campbell,31 Wolcott St # 2,Dorchester,MA,2121,Female,Western Europe,Suffolk,,799106,Personal Trainers-Fitness,713940,Fitness & Recreational Sports Centers,1 to 4,1,"Less Than $500,000","$50,000",Private,Single Loc,1999.5,U,68,5000.0,42.302425,-71.082392,Verified,2.5
621,949,Builders Community,,,808 Tremont St,Roxbury,MA,2118,,Uncoded,Suffolk,Lower Roxbury,154213,Building Contractors,236220,Commercial & Institutional Building Construction,5 to 9,8,$2.5-5 Million,"$4,777,000",Private,Single Loc,3749.5,B,81,17500.0,42.338392,-71.08151,Verified,4.67
622,950,Building Pathways Inc,John,Healy,12a Everdean St,Dorchester,MA,2122,Male,Western Europe,Suffolk,,839998,Non-Profit Organizations,813319,Other Social Advocacy Organizations,5 to 9,9,,$0,Private,Single Loc,3749.5,B,83,17500.0,42.296991,-71.05770600000001,Verified,4.67
623,951,Building Pathways Inc,Brian,Doherty,2201 Washington St,Roxbury,MA,2119,Male,Western Europe,Suffolk,,154213,Building Contractors,236220,Commercial & Institutional Building Construction,5 to 9,8,$2.5-5 Million,"$4,777,000",Private,Single Loc,14999.5,B,80,17500.0,42.331152,-71.083218,Verified,1.17
624,952,Bully Boy Distillers,Will,Willis,35 Cedric St,Roxbury,MA,2119,Male,Western Europe,Suffolk,Dudley-Brunswick King,208501,Distillers (Mfrs),312140,Distilleries,5 to 9,7,$5-10 Million,"$9,077,000",Private,Single Loc,7499.5,B,83,37500.0,42.325371999999994,-71.071049,Verified,5.0
