Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Credit Score Alpha,Executive Gender,Executive Title,Fax Number Combined,IUSA Number,Location Employee Size Range,Location Sales Volume Range,Phone Number Combined,Primary SIC Code,Primary SIC Description,SIC Code 1,SIC Code 1 Description,Record Type
Boston Health Net,Joel,Snider,10 Gove St,East Boston,MA,2128,A+,Male,,6175684585,49-706-2588,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Lauren Jean,Oshry,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,51-693-7315,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Jose A,Abrego,10 Gove St,East Boston,MA,2128,A,Male,,,51-693-9113,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Dorina R,Abdulah,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,63-608-4030,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Sausan T,Campbell,10 Gove St,East Boston,MA,2128,A,,,6175684585,63-609-1852,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Mohini A,Daya,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,63-609-4856,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Kenneth K,Gerweck,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,63-609-8923,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Mari A,Hoffman,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,63-610-1594,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Sarah M,Hollopeter,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,63-610-2121,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Tien-Hsin C,Lin,10 Gove St,East Boston,MA,2128,A,,,6175684585,63-610-8235,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Cheryl A,Mc Sweeney,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,63-611-1270,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Pooja C,Mittal,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,63-611-1437,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Michelle L,O'Brien,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,69-300-1984,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Janet C,Stiles,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,69-302-8847,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Sandra K,Schumacher,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,69-304-4141,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Engel B,Bido Santos,10 Gove St,East Boston,MA,2128,A,,,6175684585,69-310-4853,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Leo A,Celi,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,69-312-3671,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Kimberly A,Dodd,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,69-313-4835,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Luis M,Henkel,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,69-317-6760,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Alberto E,Soyano,10 Gove St,East Boston,MA,2128,A,Male,,6175684585,69-330-6110,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Darcy G,Thomas,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,69-332-7892,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Charmalie,Heller,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,71-726-4865,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Health Net,Mary A,Schran,10 Gove St,East Boston,MA,2128,A,Female,,6175684585,88-481-2900,1 to 4,"$500,000-1 Million",(617) 569-5800,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Boston Plasma TV,,,3 Mulvey St,Mattapan,MA,2126,B+,,,,40-770-1957,5 to 9,$1-2.5 Million,(857) 312-0899,171102,Heating Contractors,171102,Heating Contractors,Closed/Out of Business
Boston Public Schools,,,205 Roxbury St,Roxbury,MA,2119,I,,,,44-004-4901,10 to 19,,(617) 635-8109,821103,Schools,821103,Schools,Closed/Out of Business
Boston Visiting Nurse Assn,Holly,Chaffee,150 Mount Vernon St,Dorchester,MA,2125,B+,Male,CEO,6178866777,41-738-5540,10 to 19,"$500,000-1 Million",(617) 886-6500,808201,Home Health Service,808201,Home Health Service,Closed/Out of Business
Boston Windshield Replacement,Becky,Morton,121 Boston St,Dorchester,MA,2125,B,Female,Manager,,71-791-1977,1 to 4,"Less Than $500,000",(617) 936-7664,753602,Automobile Glass-Service & Installation,753602,Automobile Glass-Service & Installation,Closed/Out of Business
Botanica Las Tres Divinas,,,727 Dudley St,Dorchester,MA,2125,C,,,,72-380-8947,1 to 4,"Less Than $500,000",(617) 506-0422,562105,Boutique Items-Retail,562105,Boutique Items-Retail,Closed/Out of Business
Boutique Yasser,,,11 Stoughton St,Dorchester,MA,2125,C+,,,,40-419-0181,1 to 4,"Less Than $500,000",(617) 506-0758,562105,Boutique Items-Retail,562105,Boutique Items-Retail,Closed/Out of Business
Bowdoin Cable Co,,,415 Bowdoin St,Dorchester,MA,2122,B+,,,,41-808-8420,1 to 4,"$500,000-1 Million",(617) 825-2525,173101,Electric Contractors,173101,Electric Contractors,Closed/Out of Business
Bowdoin Health Ctr,Richard C,Bird Jr,230 Bowdoin St,Dorchester,MA,2122,A,Male,,,36-137-0893,1 to 4,"$500,000-1 Million",(617) 754-0100,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Bowdoin Health Ctr,Anthony F,Bonacci,230 Bowdoin St,Dorchester,MA,2122,A,Male,,6177540220,36-138-3268,1 to 4,"$500,000-1 Million",(617) 754-0100,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Bowdoin Health Ctr,Martin T,November,230 Bowdoin St,Dorchester,MA,2122,A,Male,,,36-217-8196,1 to 4,"$500,000-1 Million",(617) 754-0100,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Bowdoin Health Ctr,Harvey W,Bidwell,230 Bowdoin St,Dorchester,MA,2122,A,Male,,6177540220,63-607-7000,1 to 4,"$500,000-1 Million",(617) 754-0100,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Bowdoin Health Ctr,Hernan,Delgado,230 Bowdoin St,Dorchester,MA,2122,A,Male,,6177540220,69-920-3709,1 to 4,"$500,000-1 Million",(617) 754-0100,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Bowdoin Health Ctr,Joseph,Ingelfinger,230 Bowdoin St,Dorchester,MA,2122,A,Male,,6177540220,88-451-9398,1 to 4,"$500,000-1 Million",(617) 754-0100,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
Bowdoin Sewer & Drain,,,314 Bowdoin St,Dorchester,MA,2122,B,,,,42-722-2101,1 to 4,$1-2.5 Million,(617) 514-1425,162307,Sewer Contractors,162307,Sewer Contractors,Closed/Out of Business
"Boykin, Wynnette R",Wynnette R,Boykin,1613 Blue Hill Ave # 302,Mattapan,MA,2126,B,Female,,,70-794-2758,1 to 4,"Less Than $500,000",(857) 598-4774,832221,Social Workers,832221,Social Workers,Closed/Out of Business
"Branson, Edward H Np",Edward H,Branson,398 Neponset Ave,Dorchester,MA,2122,B+,Male,,,63-613-1781,1 to 4,"Less Than $500,000",(617) 282-3200,804907,Nurses-Practitioners,804907,Nurses-Practitioners,Closed/Out of Business
"Briceno, Elizabeth N DDS",Elizabeth N,Briceno,38 Central Sq,East Boston,MA,2128,A,Female,,6175675361,69-311-0959,1 to 4,"$500,000-1 Million",(617) 569-3131,802101,Dentists,802101,Dentists,Closed/Out of Business
Bright Beginnings Nursery,,,,Dorchester,MA,2122,A,,,,69-046-4367,10 to 19,"Less Than $500,000",(617) 822-0900,835101,Child Care Service,835101,Child Care Service,Closed/Out of Business
Brookstone,Diana,Frechette,100 Terminal A # 19,East Boston,MA,2128,B+,Female,CEO,,26-689-0417,1 to 4,"Less Than $500,000",(617) 561-0637,594712,Gift Shops,594712,Gift Shops,Closed/Out of Business
Brothers Super Liquors,,,213 Bowdoin St,Dorchester,MA,2122,B+,,,,42-734-7996,1 to 4,$1-2.5 Million,(617) 514-6056,592102,Liquors-Retail,592102,Liquors-Retail,Closed/Out of Business
Bruce C Bolling Bldg,,,2300 Washington St # 6,Roxbury,MA,2119,C+,,,,43-902-6604,1 to 4,$5-10 Million,(617) 541-2604,651202,Office Buildings & Parks,651202,Office Buildings & Parks,Closed/Out of Business
BTU Lounge,Michelle,Frank,180 Mount Vernon St,Dorchester,MA,2125,A,Female,Manager,6172886942,85-366-2575,1 to 4,"Less Than $500,000",(617) 288-3322,581303,Cocktail Lounges,581303,Cocktail Lounges,Closed/Out of Business
Budget Truck Rental,,,22 Centre St,Roxbury,MA,2119,C+,,,,40-193-6676,1 to 4,"$500,000-1 Million",(866) 628-5740,751303,Truck Renting & Leasing,751303,Truck Renting & Leasing,Closed/Out of Business
"Bugayong, Marites G DDS",Marites G,Bugayong,38 Central Sq,East Boston,MA,2128,A,Female,,6175675361,41-561-6292,1 to 4,"$500,000-1 Million",(617) 569-3131,802101,Dentists,802101,Dentists,Closed/Out of Business
Bulthaup Corp Boston,Ellen,Leslie,47 Harvest St # 1,Dorchester,MA,2125,B,Female,Manager,6178302343,65-710-4022,1 to 4,"Less Than $500,000",(617) 830-2345,243401,Cabinets-Manufacturers,243401,Cabinets-Manufacturers,Closed/Out of Business
Burger King,,,960 William T Morrissey Blvd,Dorchester,MA,2122,A,,,,43-317-8155,20 to 49,$1-2.5 Million,(617) 436-9072,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Burger King,Stacey,Moore,1 Harborside Dr # E,East Boston,MA,2128,A,Female,Site Manager,,41-520-4415,10 to 19,$1-2.5 Million,(617) 569-0356,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Burger King,Alvin,Gonzalez,18 Terminal C,East Boston,MA,2128,A+,Male,Site Manager,,67-964-9988,20 to 49,$1-2.5 Million,(617) 567-8900,581208,Restaurants,581208,Restaurants,Closed/Out of Business
C F S Group Inc,Richard,Phipps,1509 Blue Hill Ave # C,Mattapan,MA,2126,U,Male,CEO,,43-139-5527,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Cafe 1221,,,1221 Dorchester Ave,Dorchester,MA,2125,A,,,,40-368-2475,5 to 9,"$500,000-1 Million",(617) 265-0751,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Cafe Anastasis,,,299 Hancock St,Dorchester,MA,2125,A,,,,42-199-0737,5 to 9,"$500,000-1 Million",(617) 512-6775,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Cafe Meridian,Edgar,Opina,271 Meridian St,East Boston,MA,2128,A,Male,Owner,,21-914-2122,1 to 4,"Less Than $500,000",(617) 561-6622,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Cape Verdian African Amer Pzz,,,554 Dudley St,Dorchester,MA,2125,A,,,,56-489-0911,5 to 9,"$500,000-1 Million",(617) 445-6334,581208,Restaurants,581208,Restaurants,Closed/Out of Business
Capeverdean Taste,Humberto,Gomes,481 Geneva Ave,Dorchester,MA,2122,B+,Male,Manager,,72-434-8957,5 to 9,"$500,000-1 Million",(617) 506-8038,581208,Restaurants,581208,Restaurants,Closed/Out of Business
"Capone, Ruth M Np",Ruth M,Capone,10 Gove St,East Boston,MA,2128,B+,Female,,,40-086-2762,1 to 4,"Less Than $500,000",(617) 569-5800,804907,Nurses-Practitioners,804907,Nurses-Practitioners,Closed/Out of Business
Carpenty Services,,,124 Calumet St,Roxbury,MA,2120,C,,,,42-660-3010,1 to 4,"Less Than $500,000",(617) 383-5447,175102,Carpenters,175102,Carpenters,Closed/Out of Business
Carrier Corp,,,200 Terminal B,East Boston,MA,2128,U,,,,71-346-0387,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Casa Myrna Vazquez,,,47 Ocean St,Dorchester,MA,2124,I,,,,43-978-6244,10 to 19,,(617) 822-8981,836115,Shelters For Battered Women,836115,Shelters For Battered Women,Closed/Out of Business
Casa Nueva Vida Inc,,,26 Josephine St,Dorchester,MA,2122,I,,,,71-004-6701,1 to 4,,(617) 514-3436,866107,Churches,866107,Churches,Closed/Out of Business
Catch Roxbury Weston Prgm Inc,Leslie,Jordan,81 Walnut Ave,Roxbury,MA,2119,B,Female,Director,,59-398-3448,1 to 4,"Less Than $500,000",(617) 427-2086,799999,Amusement & Recreation NEC,799999,Amusement & Recreation NEC,Closed/Out of Business
CBE Technologies Inc,Andrew,Lally,50 Redfield St,Dorchester,MA,2122,B,Male,President,,62-871-1699,1 to 4,"Less Than $500,000",(617) 265-2854,737801,Computers-Service & Repair,737801,Computers-Service & Repair,Closed/Out of Business
CEECO,,,95 Freeport St,Dorchester,MA,2122,B+,,,,42-731-2286,5 to 9,$1-2.5 Million,(617) 825-3000,171117,Air Conditioning Contractors & Systems,171117,Air Conditioning Contractors & Systems,Closed/Out of Business
Cementile,,,844 Dorchester Ave,Dorchester,MA,2125,U,,,,71-207-5196,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Centaurian Dental,Anhphi,Nguyen,653 Columbia Rd # 1,Dorchester,MA,2125,A,Female,,6178221733,71-785-5803,1 to 4,"$500,000-1 Million",(617) 825-9100,802101,Dentists,802101,Dentists,Closed/Out of Business
Central Square Smiles,Aida P,Padron Costas,38 Central Sq,East Boston,MA,2128,A,Female,,6175675361,40-265-6585,1 to 4,"$500,000-1 Million",(617) 569-3131,802101,Dentists,802101,Dentists,Closed/Out of Business
Central Square Smiles,Wanda,Febo-Cuello,38 Central Sq,East Boston,MA,2128,A+,Female,,6175675361,44-915-3410,1 to 4,"$500,000-1 Million",(617) 569-3131,802101,Dentists,802101,Dentists,Closed/Out of Business
Century 21 Gold Medal Realty,,,906 Dorchester Ave,Dorchester,MA,2125,A,,,,71-348-3143,10 to 19,$2.5-5 Million,Not Available,653118,Real Estate,653118,Real Estate,Closed/Out of Business
Century International,Joe,Tarantino,296 Bennington St,East Boston,MA,2128,B,Male,Owner,,44-915-4475,1 to 4,"$500,000-1 Million",(617) 561-3937,473104,Freight-Forwarding,473104,Freight-Forwarding,Closed/Out of Business
Century Trading,Chantal E,Soares,61 Milton Ave # 112,Dorchester,MA,2124,U,Female,Owner,,72-059-6143,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
"Chadwick-Rivin, Phoebe H Np",Phoebe H,Chadwick-Rivin,10 Gove St,East Boston,MA,2128,B,Female,,,43-843-6443,1 to 4,"Less Than $500,000",(617) 569-5800,804907,Nurses-Practitioners,804907,Nurses-Practitioners,Closed/Out of Business
"Chelian, Charishma DDS",Charishma,Chelian,55 Meridian St,East Boston,MA,2128,A,Female,,,71-780-1278,1 to 4,"$500,000-1 Million",(617) 471-0822,802101,Dentists,802101,Dentists,Closed/Out of Business
Chelsea Mgh Healthcare Ctr,,,416 Warren St,Roxbury,MA,2119,A,,,,41-726-2487,5 to 9,$1-2.5 Million,(617) 889-8510,801101,Physicians & Surgeons,801101,Physicians & Surgeons,Closed/Out of Business
"Chen, Shao-Chiu DDS",Shao-Chiu,Chen,38 Central Sq,East Boston,MA,2128,A,,,6175675361,69-311-5495,1 to 4,"$500,000-1 Million",(617) 569-3131,802101,Dentists,802101,Dentists,Closed/Out of Business
"Cheney, Wendy Ruth DDS",Wendy Ruth,Cheney,801 Albany St,Roxbury,MA,2119,A,Female,,,36-146-8051,1 to 4,"$500,000-1 Million",(617) 414-8066,802101,Dentists,802101,Dentists,Closed/Out of Business
Children's Hospital Inc,,,21 South Munroe Ter,Dorchester,MA,2122,A,,,,71-341-6698,5 to 9,$1-2.5 Million,(617) 355-1900,806998,Specialty Hospitals-Except Psychiatric,806998,Specialty Hospitals-Except Psychiatric,Closed/Out of Business
Children's Services Of Roxbury,Tia,Washington,520 Dudley St,Roxbury,MA,2119,B,Female,,,70-750-4757,1 to 4,"Less Than $500,000",(617) 989-9499,832282,Counselors,832282,Counselors,Closed/Out of Business
Childrens Services Of Roxbury,Vionnah W,Githira,520 Dudley St,Roxbury,MA,2119,B,Female,,,70-750-3759,1 to 4,"Less Than $500,000",(617) 989-9499,832282,Counselors,832282,Counselors,Closed/Out of Business
"Chorres, Romina",Romina,Chorres,245 Eustis St,Roxbury,MA,2119,B,Female,,,71-880-1272,1 to 4,"Less Than $500,000",(617) 445-1123,832221,Social Workers,832221,Social Workers,Closed/Out of Business
Christian Beginning Daycare,Sonja F,Brown,154 Quincy St # 2,Dorchester,MA,2121,B,Female,Owner,,50-830-9259,1 to 4,"Less Than $500,000",(617) 427-2455,835101,Child Care Service,835101,Child Care Service,Closed/Out of Business
Circuit City,,,8 Allstate Rd,Dorchester,MA,2125,A,,,,61-574-7581,50 to 99,$10-20 Million,(617) 541-4120,573117,Electronic Equipment & Supplies-Retail,573117,Electronic Equipment & Supplies-Retail,Closed/Out of Business
Citizens Bank,,,125 Magazine St,Roxbury,MA,2119,A+,,,,71-341-9159,50 to 99,$10-20 Million,(401) 456-7000,602101,Banks,602101,Banks,Closed/Out of Business
City On A Hill Charter School,,,18 Samoset St,Dorchester,MA,2124,I,,,,71-346-9038,20 to 49,,(617) 445-1515,821103,Schools,821103,Schools,Closed/Out of Business
"Clapp, Meaghan A Pa",Meaghan A,Clapp,10 Gove St,East Boston,MA,2128,B,Female,,,42-715-5800,1 to 4,"Less Than $500,000",(617) 569-5800,804920,Physicians Assistants,804920,Physicians Assistants,Closed/Out of Business
Clarilegal Inc,Cash M,Butler,100 William T Morrissey Blvd,Dorchester,MA,2125,U,Male,President,,43-616-6100,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Classic Hair Design By Rose,,,612 Blue Hill Ave,Dorchester,MA,2121,B,,,,72-494-6536,1 to 4,"Less Than $500,000",(617) 514-4238,723106,Beauty Salons,723106,Beauty Salons,Closed/Out of Business
Claudette's Hair Studio,Claudette,Smith,330 Martin Luther King Blvd,Roxbury,MA,2119,A,Female,Owner,,85-361-8908,5 to 9,"Less Than $500,000",(617) 445-7078,723106,Beauty Salons,723106,Beauty Salons,Closed/Out of Business
Clinedge,,,43 Saint Margaret St,Dorchester,MA,2125,U,,,,71-341-7206,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Club De Nutricion,,,3116 Washington St,Roxbury,MA,2119,I,,,,42-369-1524,5 to 9,,(617) 390-5311,864108,Clubs,864108,Clubs,Closed/Out of Business
Coa/Nhcd/Ahfc,,,143 Border St,East Boston,MA,2128,U,,,,71-343-1182,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Codeship,,,26 Hinckley St,Dorchester,MA,2125,U,,,,71-343-1685,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Codman Cycle Co,,,353 Adams St,Dorchester,MA,2122,A,,,,85-365-2451,1 to 4,"$500,000-1 Million",(617) 282-5585,594141,Bicycles-Dealers,594141,Bicycles-Dealers,Closed/Out of Business
Codman Lock Co,Richard,Waters,357 Adams St,Dorchester,MA,2122,B+,Male,Owner,6172871682,10-729-7335,1 to 4,$1-2.5 Million,(617) 436-6718,521126,Building Materials,521126,Building Materials,Closed/Out of Business
Cogent Creative,,,217 Neponset Ave,Dorchester,MA,2122,U,,,,71-342-7603,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Cold Zone Of Boston,,,141 Border St,East Boston,MA,2128,B,,,,40-606-8536,1 to 4,"Less Than $500,000",(617) 569-5775,171117,Air Conditioning Contractors & Systems,171117,Air Conditioning Contractors & Systems,Closed/Out of Business
"Coletti, Ellen E Np",Ellen E,Coletti,131 Walnut Ave,Roxbury,MA,2119,B+,Female,,,40-267-5795,1 to 4,"Less Than $500,000",(617) 635-8137,804907,Nurses-Practitioners,804907,Nurses-Practitioners,Closed/Out of Business
Columbia Design Group LLC,,,856 Dorchester Ave,Dorchester,MA,2125,U,,,,71-344-9158,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Comcast Cable,,,26 Waverly St,Roxbury,MA,2119,B,,,,43-515-2960,10 to 19,$5-10 Million,(617) 522-0856,484101,Television-Cable & Catv,484101,Television-Cable & Catv,Closed/Out of Business
Commonwealth Care Alliance,Christopher,Palmieri,10 Northampton St,Roxbury,MA,2119,I,Male,CEO,,71-665-6717,5 to 9,"$500,000-1 Million",(617) 445-6538,832218,Social Service & Welfare Organizations,832218,Social Service & Welfare Organizations,Closed/Out of Business
Commonwealth Of Massachusetts,,,425 Harvard St,Dorchester,MA,2124,U,,,,71-343-1551,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
"Cuomo, Hailey",Hailey,Cuomo,55 Dimock St,Roxbury,MA,2119,B,Female,,,71-723-8408,1 to 4,"Less Than $500,000",(617) 442-8800,832221,Social Workers,832221,Social Workers,Closed/Out of Business
"Cuperman, Ronen",Ronen,Cuperman,11 Roxbury St,Roxbury,MA,2119,B,Male,,,70-750-2371,10 to 19,"$500,000-1 Million",(617) 516-0280,808201,Home Health Service,808201,Home Health Service,Closed/Out of Business
Curves,Jane,Carthas,79 Freeport St,Dorchester,MA,2122,B+,Female,Owner,,23-441-7111,1 to 4,"Less Than $500,000",(617) 506-6733,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,Closed/Out of Business
Customer Passlow,,,79 Woodbole Ave,Mattapan,MA,2126,U,,,,73-456-8757,,,(617) 273-5115,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
"Cyr, Brenna Lynn",Brenna Lynn,Cyr,1290 Tremont St,Roxbury,MA,2120,B,Female,,,72-086-2785,1 to 4,"Less Than $500,000",(617) 989-3294,832221,Social Workers,832221,Social Workers,Closed/Out of Business
D & D Convenience Store,Van,Hua,1002 Dorchester Ave,Dorchester,MA,2125,B,Male,Owner,,53-210-6457,1 to 4,"Less Than $500,000",(617) 288-9501,541103,Convenience Stores,541103,Convenience Stores,Closed/Out of Business
D & S Refrigeration Sales,Kevin,Donelan,1127 Harrison Ave,Roxbury,MA,2119,B,Male,Owner,,10-730-8108,1 to 4,$2.5-5 Million,(617) 265-9129,507804,Refrigerating Equip-Commercial (Whls),507804,Refrigerating Equip-Commercial (Whls),Closed/Out of Business
D I G,,,110 Gibson St # 6,Dorchester,MA,2122,U,,,,71-113-3550,,,(857) 526-2765,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Damiano Global Corp,,,58 Everett St,East Boston,MA,2128,U,,,,71-343-2252,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Dane Shulman Assoc,Dane M,Shulman,1596 Blue Hill Ave,Mattapan,MA,2126,A,Male,,,40-193-4170,1 to 4,"$500,000-1 Million",(617) 296-3600,811103,Attorneys,811103,Attorneys,Closed/Out of Business
David Squibb,,,13 Pompeii St # 1,Roxbury,MA,2119,U,,,,71-111-8054,,,(857) 417-5148,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
"David, Amy M",Amy M,David,105 Victory Rd,Dorchester,MA,2122,B,Female,,,72-086-2725,1 to 4,"Less Than $500,000",(617) 371-3010,804925,Speech Pathologists,804925,Speech Pathologists,Closed/Out of Business
Davis Vision Ctr,,,750 Dorchester Ave,Dorchester,MA,2125,A,,,,40-386-5721,5 to 9,"$500,000-1 Million",(617) 825-2490,599502,Optical Goods-Retail,599502,Optical Goods-Retail,Closed/Out of Business
Dbw LLC,,,3 Maybrook St,Dorchester,MA,2121,U,,,,70-848-3277,,,(617) 297-8976,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Dcam,,,145 Havre St,East Boston,MA,2128,U,,,,71-345-7839,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Deeper Life Bible Church,Jacob B,Oni,95 Freeport St,Dorchester,MA,2122,I,Male,President,,42-121-0179,1 to 4,,(617) 514-3428,866107,Churches,866107,Churches,Closed/Out of Business
Denham Capital Management,,,121 E Cottage St,Dorchester,MA,2125,U,,,,71-343-6348,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Denham Capital Management,,,944 Dorchester Ave,Dorchester,MA,2125,U,,,,71-348-3367,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Denham Capital Management,,,156 Porter St,East Boston,MA,2128,U,,,,71-340-8142,,,Not Available,999977,Nonclassified Establishments,999977,Nonclassified Establishments,Closed/Out of Business
Dental Dreams,Rihito,Matsui,3033 Washington St,Roxbury,MA,2119,A,Male,,,40-508-0843,1 to 4,"$500,000-1 Million",(617) 541-2200,802101,Dentists,802101,Dentists,Closed/Out of Business
Dental Dreams,Kyle R,Weckesser,3033 Washington St,Roxbury,MA,2119,A,Male,,,42-219-0880,1 to 4,"$500,000-1 Million",(617) 541-2200,802101,Dentists,802101,Dentists,Closed/Out of Business
Dental Dreams,Paritosh,Amburle,3033 Washington St,Roxbury,MA,2119,A,,,,42-501-6039,1 to 4,"$500,000-1 Million",(617) 541-2200,802101,Dentists,802101,Dentists,Closed/Out of Business
Dental Dreams,Daniel J,Schafft,3033 Washington St,Roxbury,MA,2119,A,Male,,,69-305-0601,1 to 4,"$500,000-1 Million",(617) 541-2200,802101,Dentists,802101,Dentists,Closed/Out of Business
